Year;Month;Day;Hour;Min;Sec;EpicentralArea;Lat;Lon;Dep;Io;Mw;ErMw
1561;8;19;15;50;;Vallo di Diano;40,563;15,505;;10;6,72;0,17
1561;11;24;1;25;;Ferrarese;44,781;11,454;;5-6;4,4;0,46
1562;4;6;1;30;;Palermo;38,115;13,362;;5;4,16;0,46
1563;9;17;9;30;;Teramano;42,58;13,978;;5-6;4,4;0,46
1564;7;20;;;;Lantosque;44,024;7,276;;8-9;5,8;0,4
1564;7;;;;;Campi Flegrei;40,835;14,186;;5;3,12;0,5
1566;5;1;9;37;;Campi Flegrei;40,822;14,123;;5-6;3,25;0,5
1566;5;6;22;45;;Campi Flegrei;40,835;14,186;;5;3,12;0,5
1566;11;30;;;;Etna - Versante settentrionale;37,877;14,948;;6-7;3,47;0,33
1567;;;;;;Norcia;42,793;13,094;;6-7;4,86;0,46
1568;12;27;;;;Campi Flegrei (Pozzuoli);40,822;14,123;;6;3,37;0,5
1570;4;30;23;6;;Campi Flegrei (Pozzuoli);40,835;14,186;;6-7;3,5;0,5
1570;11;17;19;10;;Ferrarese;44,824;11,632;;7-8;5,44;0,17
1572;1;4;18;45;;Tirol, Innsbruck;47,283;11,467;;6;4,74;0,64
1572;6;4;22;;;Parmense;44,85;10,422;;6;4,63;0,46
1574;3;17;3;40;;Finale Emilia;44,833;11,294;;6;4,63;0,46
1574;8;14;;;;Istria settentrionale;45,4;14,1;;8;5,56;0,46
1575;6;5;20;30;;Napoli;40,849;14,25;;5-6;3,25;0,5
1575;6;14;16;;;Siena;43,318;11,332;;6-7;4,86;0,46
1575;11;17;10;30;;Pordenonese;46,062;12,635;;6-7;4,86;0,46
1576;9;26;5;10;;Bergamo;45,694;9,671;;5-6;4,4;0,46
1577;6;6;23;;;Colli Albani;41,688;12,778;;5-6;4,4;0,46
1578;;;;;;Stretto di Sicilia;37,508;13,083;;7;5,1;0,46
1579;;;;;;Marsica;41,808;13,789;;5-6;4,4;0,46
1582;4;16;;;;Campi Flegrei (Pozzuoli);40,822;14,123;;7;3,63;0,5
1582;6;5;7;8;;Campi Flegrei (Pozzuoli);40,822;14,123;;8;3,88;0,5
1584;3;1;;;;Cuneese;44,466;7,362;;6-7;4,86;0,46
1584;3;11;11;30;;Vaud, Aigle;46,33;6,97;;8;5,9;0,5
1584;3;14;8;;;Vaud, Aigle;46,32;6,98;;7;5,4;1
1584;9;10;20;30;;Appennino forlivese;43,862;11,992;;9;5,97;0,24
1586;1;12;;;;Parmense;44,866;10,061;;5;4,16;0,46
1587;;;;;;Benevento;41,131;14,778;;6;4,63;0,46
1590;4;22;12;30;;Ljubljana;46,08;14,5;;7;5,1;0,46
1590;6;13;10;30;;Valle Umbra;43,065;12,497;;6-7;4,86;0,46
1591;5;24;;;;Reggio nell'Emilia;44,698;10,631;;6;4,63;0,46
1591;7;10;;;;Romagna;44,401;12,035;;6-7;5,13;0,6
1592;11;24;;;;Valle Umbra;42,877;12,747;;7;5,1;0,46
1593;3;8;;;;Bergamo;45,694;9,671;;6-7;4,86;0,46
1593;4;23;;;;Bacino di Gubbio;43,31;12,421;;7-8;5,33;0,46
1594;10;3;;;;Ferrara;44,835;11,62;;5;4,16;0,46
1595;7;12;;;;Tirol, Hall;47,28;11,51;;6;4,63;0,46
1595;7;14;1;30;;Friuli;46,063;13,234;;4;3,7;0,46
1595;10;30;;;;Gubbio;43,351;12,577;;5-6;4,4;0,46
1597;3;5;;;;Monti Martani;42,778;12,466;;6;4,63;0,46
1597;8;3;23;40;;Mugello;43,987;11,429;;7-8;5,28;0,23
1599;8;;;;;Stretto di Messina;38,147;15,601;;7;5,1;0,46
1599;11;6;1;25;;Valnerina;42,724;13,021;;9;6,07;0,24
1599;11;16;;;;Casentino;43,774;11,716;;7;5,1;0,46
1599;12;29;2;30;;Ljubljana;46;14,5;;5;4,16;0,46
1600;7;6;;;;Firenze;43,773;11,257;;6;4,63;0,46
1600;10;28;;;;Reggio nell'Emilia;44,698;10,631;;7-8;5,33;0,46
1601;8;10;;;;Napoli;40,849;14,25;;5;3,12;0,5
1601;;;;;;Messina;38,185;15,555;;5;4,16;0,46
1603;1;25;;;;Siena;43,318;11,332;;5-6;4,4;0,46
1606;8;22;;;;Bergamo;45,694;9,671;;6-7;4,86;0,46
1606;12;12;;;;Padova;45,407;11,875;;5;4,16;0,46
